Nummer,Text,laenge,Englisch,preprocessedDE,preprocessedEN,GoogleTranslator
46,Schade seid ihr nicht in unserem Werk in Emmen/CH vorbeigekommen und ein wenig mehr über die Nutzlastverkleidung/ Fairing gezeigt.,130,Too bad you didn't stop by our factory in Emmen/CH and show a little more about the payload fairing.,"['schade', 'Werk', 'Emmench', 'vorbeikommen', 'weniger', 'mehr', 'Nutzlastverkleidung', 'Fairing', 'zeigen']","['bad', 'didnen', 'stop', 'factory', 'emmench', 'show', 'little', 'payload', 'fairing']",It's a pity you didn't come to our factory in Emmen/CH and show us a little more about the payload fairing.
47,Bin bei Minute 8 und selten so einen Scheiß gehört!,51,I'm at minute 8 and rarely heard such shit!,"['Minute', '8', 'selten', 'scheißen', 'gehören']","['minute', '8', 'rarely', 'heard', 'suchen', 'shit']",I'm at minute 8 and have rarely heard such shit!
48,Guter differenzierter Beitrag.,30,Good differentiated contribution.,"['gut', 'differenziert', 'Beitrag']","['good', 'differentiated', 'contribution']",Good differentiated article.
49,leider kein hummels schade hätte er sich absolut verdient,57,unfortunately no hummels a pity he would have absolutely deserved it,"['leider', 'hummels', 'schade', 'absolut', 'verdienen']","['unfortunately', 'hummels', 'pity', 'would', 'absolutely', 'deserved']","Unfortunately no Hummels, what a pity he absolutely deserved it"
50,Das Bild gefällt mir! Vielen Dank!,34,I like the picture! Thank you very much!,"['Bild', 'gefallen', 'Dank']","['like', 'picture', 'thank', 'much']",I like the picture! Thank you very much!
51,Ich glaube das wichtigste ist der bewusste Konsum. Das gilt doch für alle Drogen oder?,86,"I think the most important thing is conscious consumption. That applies to all drugs, doesn't it?","['glauben', 'wichtig', 'bewusst', 'Konsum', 'gelten', 'all', 'Droge']","['think', 'important', 'thing', 'conscious', 'consumption', 'applies', 'drugs']","I think the most important thing is conscious consumption. That applies to all drugs, doesn't it?"
52,Danke dass ihr das noch mal aufgreift.Dies darf nicht vergessen werden!,71,Thank you for bringing this up again - it must not be forgotten!,"['danke', 'mal', 'aufgreiftdies', 'dürfen', 'vergessen']","['thank', 'bringing', 'müssen', 'gut', 'forgott']",Thank you for bringing this up again. This must not be forgotten!
53,Dieser Werbespot ist eine absolute und dreiste Frechheit.,57,This commercial is an absolute and brazen impertinence.,"['Werbespot', 'absolut', 'dreist', 'Frechheit']","['commercial', 'absolut', 'brazen', 'impertinence']",This commercial is an absolute and blatant disgrace.
54,"Echt traurig,auch so manche geschmacklosen Kommentare hier....Kranke Gesellschaft",81,"Really sad, even some of the tasteless comments here .... Sick society","['echt', 'Traurigauch', 'manch', 'geschmacklos', 'Kommentar', 'hierkrank', 'Gesellschaft']","['really', 'sad', 'even', 'tasteless', 'comments', 'sick', 'society']","Really sad, also some of the tasteless comments here....sick society"
55,In Moskau ist eine Flasche Wodka umgefallen,43,A bottle of vodka fell over in Moscow,"['Moskau', 'Flasche', 'Wodka', 'umfallen']","['bottle', 'vodka', 'fell', 'moscow']",A bottle of vodka fell over in Moscow
56,So lange ein Facharbeiter nicht das Geld bekommt das für eine Familie ausreicht und selbst Doppelverdiener (war früher ein Schimpfwort) das kaum mehr stemmen können gibt es ein Problem.,185,"As long as a skilled worker doesn't get enough money to support a family and even double earners (used to be a dirty word) can hardly manage that, there's a problem.","['lange', 'Facharbeiter', 'Geld', 'bekommen', 'Familie', 'ausreichen', 'Doppelverdiener', 'früh', 'Schimpfwort', 'kaum', 'mehr', 'stemmen', 'geben', 'Problem']","['long', 'skilled', 'worker', 'get', 'enough', 'money', 'support', 'family', 'even', 'doubeln', 'earners', 'used', 'dirty', 'worden', 'hardly', 'managen', 'theres', 'problem']","As long as a skilled worker does not receive enough money to support a family and even dual-income earners (used to be a dirty word) can hardly manage it anymore, there is a problem."
57,Für weniger Geld mehr Verantwortung übernehmen. Nein Danke.,59,Taking on more responsibility for less money. No thanks.,"['wenig', 'Geld', 'mehr', 'Verantwortung', 'übernehmen', 'nein', 'danken']","['taking', 'responsibility', 'les', 'money', 'thanks']",Taking on more responsibility for less money. No thanks.
58,Wir haben eine Katze aus Griechenland,37,We have a cat from Greece,"['Katze', 'Griechenland']","['cat', 'greece']",We have a cat from Greece
59,Damit würde man dann auch die Rente des Kleinanlegers zerstörten. Aktien sind nun mal die beste Möglichkeit die Rentenlücke zu schließen. Für klein und Normalanleger sollten Aktienverkäufe Steuerfrei sein (nach 10 Jahren Anlage) oder nur wenig besteuert werden.,36,"This would also destroy the pension of the small investor. Shares are the best way to close the pension gap. For small and normal investors, share sales should be tax-free (after 10 years of investment) or taxed only slightly.","['Rente', 'Kleinanleger', 'zerstört', 'Aktie', 'mal', 'gut', 'Möglichkeit', 'Rentenlücke', 'schließen', 'Klein', 'Normalanleger', 'sollen', 'Aktienverkauf', 'steuerfrei', '10', 'Jahr', 'Anlage', 'wenig', 'besteuern']","['would', 'also', 'destroy', 'pension', 'small', 'investor', 'shares', 'best', 'way', 'clos', 'pension', 'gap', 'small', 'normal', 'investor', 'sharen', 'sales', 'taxfree', '10', 'year', 'investment', 'taxed', 'slightly']","This would also destroy the pension of the small investor. Shares are simply the best way to close the pension gap. For small and normal investors, selling shares should be tax-free (after 10 years of investment) or only be taxed at a low rate."
60,Können neuronale Netzwerke in Zukunft alle Aufgaben besser ausführen als Menschen oder wo liegen die Grenzen?,109,"Will neural networks be able to perform all tasks better than humans in the future, or where are the limits?","['neuronal', 'Netzwerk', 'Zukunft', 'all', 'Aufgabe', 'gut', 'ausführen', 'Mensch', 'liegen', 'Grenze']","['neural', 'network', 'able', 'perform', 'task', 'better', 'human', 'future', 'wher', 'limit']",Will neural networks be able to perform all tasks better than humans in the future or where are the limits?
61,"So Leude, Forza ist runtergeladen",33,"So guys, Forza is downloaded","['Leude', 'Forza', 'runterladen']","['guy', 'forza', 'downloaded']","Alright folks, Forza is downloaded"
62,Wie schön ist das bitte Das macht so Spaß zuzugucken,52,How beautiful is that please? It's so much fun to watch,"['schön', 'bitte', 'Spaß', 'zugucken']","['beautiful', 'please', 'much', 'fun', 'watch']",How beautiful is that? It's so fun to watch
63,"So ein toller junger Mann, er ist durch die Therapie wirklich stärker geworden! Ich würde ihn sofort einstellen! Alles Gute!",124,"Such a great young man, he has really gotten stronger through therapy! I would hire him in a heartbeat! All the best!","['toll', 'jung', 'Mann', 'Therapie', 'wirklich', 'stark', 'sofort', 'einstellen', 'all', 'Gute']","['great', 'young', 'man', 'really', 'gott', 'stronger', 'therapy', 'would', 'hire', 'heartbeat', 'best']","Such a great young man, he has really gotten stronger through therapy! I would hire him immediately! All the best!"
64,"Danke an dem WDR für den einfühlsamen Beitrag. Das Elend der Tiere im Süden ist riesig, wenn man weiß, daß es noch einige Shelter dort gibt. Ich danke allen für ihre große Leistung. Vielleicht kann man noch ein Spendenkonto bekannt geben, damit das Tierheim gebaut und  unterstützt werden kann.",294,Thanks to the WDR for the sensitive contribution. The misery of the animals in the south is enormous when you know that there are still some shelters there. I thank everyone for their great effort. Maybe you can announce a donation account so that the shelter can be built and supported.,"['danke', 'Wdr', 'einfühlsam', 'Beitrag', 'Elend', 'Tier', 'Süden', 'riesig', 'wissen', 'Shelter', 'geben', 'danken', 'groß', 'Leistung', 'vielleicht', 'Spendenkonto', 'bekannt', 'geben', 'Tierheim', 'bauen', 'unterstützen']","['thanks', 'wdr', 'sensitive', 'contribution', 'misery', 'animals', 'south', 'enormous', 'know', 'ther', 'still', 'shelters', 'ther', 'thank', 'everyone', 'great', 'effort', 'maybe', 'announce', 'donation', 'account', 'shelter', 'built', 'supported']",Thanks to WDR for the sensitive report. The misery of the animals in the south is enormous when you know that there are still a few shelters there. I thank everyone for their great work. Perhaps you can announce a donation account so that the animal shelter can be built and supported.
65,Frau Paus scheint als Ministerin heillos überfordert zu sein.,61,Ms. Paus seems to be hopelessly out of her depth as a minister.,"['Frau', 'Pau', 'scheinen', 'Ministerin', 'heillos', 'überfordern']","['pau', 'seems', 'hopelessly', 'depth', 'minister']",Mrs Paus seems to be hopelessly overwhelmed as a minister.
66,Wie viel Schulden hast du ? Weiß ich nicht. Das und nichts anderes ist der grund warum diese dame schulden hat.,111,How much debt do you have? I don't know. That and nothing else is the reason why this lady has debts.,"['Schuld', 'wissen', 'Grund', 'warum', 'Dame', 'schulden']","['much', 'debt', 'dont', 'know', 'nothing', 'else', 'reason', 'lady', 'debts']",How much debt do you have? I don't know. That and nothing else is the reason why this lady is in debt.
67,"Steve ist Klasse! Er kann Hunde extrem gut einschätzen und den Menschen somit helfen.....und dem Hund auch, natürlich!",118,"Steve is great! He can assess dogs extremely well and therefore help people.....and the dog too, of course!","['Steve', 'Klasse', 'Hund', 'extrem', 'gut', 'einschätzen', 'Mensch', 'somit', 'helfenund', 'Hund', 'natürlich']","['steve', 'great', 'assess', 'dogs', 'extremely', 'well', 'therefore', 'help', 'peopleand', 'dog', 'course']","Steve is great! He can assess dogs extremely well and can help people... and the dog too, of course!"
68,"Wer hart arbeitet, soll auch anständig bezahlt werden. Da werden 14 oder 15 Euro oft kaum ausreichen. Besonders Alleinerziehende tragen hohe Belastungen.",153,"Those who work hard should also be paid decently. In many cases, 14 or 15 euros will hardly be enough. Single parents in particular bear a heavy burden.","['wer', 'hart', 'arbeiten', 'sollen', 'anständig', 'bezahlen', '14', '15', 'Euro', 'oft', 'kaum', 'ausreichen', 'besonders', 'Alleinerziehende', 'tragen', 'hoch', 'Belastung']","['thos', 'work', 'hard', 'also', 'paid', 'decently', 'many', 'cases', '14', '15', 'euro', 'hardly', 'enough', 'single', 'parents', 'particular', 'bear', 'heavy', 'burd']",Those who work hard should be paid decently. 14 or 15 euros is often barely enough. Single parents in particular bear a heavy burden.
69,"Häh? Warum muss sie sich die Miete leihen, wenn sie Geld vom Jobcenter bekommt? Warum schreibt sie keine Bewerbungen? Und warum muss sie unbedingt in Köln bleiben? Ganz viele Fragezeichen...",190,Huh? Why does she have to borrow the rent if she gets money from the job center? Why doesn't she write job applications? And why does she have to stay in Cologne? Lots of question marks...,"['häh', 'warum', 'müssen', 'Miete', 'leihen', 'Geld', 'Jobcenter', 'bekommen', 'warum', 'schreiben', 'Bewerbung', 'warum', 'müssen', 'unbedingt', 'Köln', 'bleiben', 'ganz', 'Fragezeichen']","['huh', 'borrow', 'rent', 'get', 'money', 'job', 'center', 'writ', 'job', 'applications', 'stay', 'cologne', 'lot', 'question', 'mark']",Huh? Why does she have to borrow the rent if she gets money from the job center? Why doesn't she write applications? And why does she have to stay in Cologne? Lots of question marks...
70,Abschaum,8,Scum,['Abschaum'],['scum'],scum
71,"Die armen Katzen man, kann man die da nicht irgendwie da rausholen?:(",69,"Poor cats, can't you get them out of there somehow?:(","['arm', 'Katze', 'irgendwie', 'rausholen']","['poor', 'cats', 'cant', 'get', 'ther', 'somehow']","The poor cats, can't you get them out of there somehow?:("
72,"Die Anbieter können die Anlagen nur dann kostenlos zurück nehmen, wenn es sie dann noch gibt.",94,The providers can only take the systems back free of charge if they are still available.,"['Anbieter', 'Anlage', 'kostenlos', 'zurück', 'nehmen', 'geben']","['provider', 'take', 'systems', 'back', 'free', 'charge', 'still', 'availabl']",The providers can only take the systems back free of charge if they still exist.
73,"Ach Leute, zeigt doch wenigstens den klasse Distanzschuss von Mittelstädt. Hätte ich nur die Zusammenfassung gesehen würde ich denken schlechter Auftritt von ihm. Dabei war es, gerade für sein erstes Länderspiel, gegen so einen Gegner überwiegend absolute Spitze!",263,"Oh guys, at least show Mittelstädt's great shot from distance. If I'd only seen the summary, I'd have thought it was a poor performance from him. But it was, especially for his first international match, against such an opponent predominantly absolute top!","['Ach', 'Leute', 'zeigen', 'wenigstens', 'Klasse', 'Distanzschuss', 'Mittelstadt', 'Zusammenfassung', 'sehen', 'denken', 'schlecht', 'Auftritt', 'dabei', 'gerade', 'erst', 'Länderspiel', 'Gegner', 'überwiegend', 'absolut', 'Spitze']","['oh', 'guys', 'leasen', 'show', 'mittelstadt', 'great', 'shot', 'distance', 'id', 'see', 'summary', 'id', 'thought', 'poor', 'performance', 'especially', 'first', 'international', 'match', 'againsen', 'suchen', 'opponent', 'predominantly', 'absolut', 'top']","Oh folks, at least show Mittelstädt's brilliant long-range shot. If I had only seen the summary, I would have thought it was a bad performance from him. But it was mostly absolutely top-notch, especially for his first international match, against such an opponent!"
74,Traurig sich so gehen zu lassen.,32,It's sad to let yourself go like that.,"['traurig', 'gehen', 'lassen']","['sad', 'let', 'go', 'like']",Sad to let yourself go like this.
75,Nach eigener Erfahrung sind die Betriebe in Niedersachsen absolute Lohn geizer. Ich habe auf diese Einstellung keine keine Lust mehr und werde die Berufsparte wechseln.,168,"In my own experience, the companies in Lower Saxony are absolute wage geizers. I'm fed up with this attitude and will change my line of work.","['eigen', 'Erfahrung', 'Betrieb', 'Niedersachsen', 'absolut', 'Lohn', 'geizer', 'Ich', 'Einstellung', 'Lust', 'mehr', 'Berufsparte', 'wechseln']","['experience', 'companie', 'lower', 'saxony', 'absolut', 'wagen', 'geizers', 'fed', 'attitude', 'chang', 'line', 'work']","In my own experience, companies in Lower Saxony are absolute wage-scrimpers. I'm fed up with this attitude and will be changing careers."
76,Habe nie verstanden warum man die generell feiert oder folgt. Die hat absolut nichts drauf.,91,I never understood why people generally celebrate or follow her. She has absolutely nothing going for her.,"['nie', 'verstehen', 'warum', 'generell', 'feiern', 'folgen', 'absolut', 'drauf']","['never', 'understood', 'people', 'generally', 'celebrate', 'follow', 'absolutely', 'nothing', 'going']",I've never understood why people celebrate or follow her. She's got absolutely nothing going for her.
77,"Ein durchaus wichtiges Thema und Anliegen. Aber leider musste ich das Bild ausschalten (nur den Ton hören) wegen der sehr nervigen und ablenkenden Animationen, die die interviewten Personen einrahmen. Ich wurde fast seekrank. Aus persönlicher Sicht verstehe ich nicht, inwiefern diese Art von grafischen Animationen zum Inhalt beitragen kann.",342,"A very important topic and concern. But unfortunately I had to turn off the picture (just listen to the sound) because of the very annoying and distracting animations framing the people being interviewed. I almost got seasick. From a personal point of view, I don't understand how this kind of graphic animation can contribute to the content.","['durchaus', 'wichtig', 'Thema', 'Anliegen', 'leider', 'müssen', 'Bild', 'ausschalten', 'Ton', 'hören', 'wegen', 'nervig', 'ablenkend', 'Animation', 'interviewen', 'Person', 'einrahmen', 'fast', 'Seekranke', 'persönlich', 'Sicht', 'verstehen', 'inwiefern', 'Art', 'grafisch', 'Animation', 'Inhalt', 'beitragen']","['important', 'topic', 'concern', 'unfortunately', 'haben', 'turnen', 'picture', 'listen', 'sound', 'annoying', 'distracting', 'animation', 'framing', 'people', 'interviewed', 'almost', 'got', 'seasick', 'personal', 'point', 'view', 'dont', 'understand', 'kind', 'graphic', 'animation', 'contribute', 'content']","A very important topic and issue. But unfortunately I had to turn off the picture (listen only to the sound) because of the very annoying and distracting animations that frame the people being interviewed. I almost got seasick. From a personal point of view, I don't understand how this type of graphic animation can contribute to the content."
78,"Der Trailer ist jetzt schon besser, als viele filme die letzten jahre.... das wird mein film des jahres!!!!  (=",111,The trailer is already better than many movies of the last years.... this will be my movie of the year!!!!  (=,"['Trailer', 'schon', 'gut', 'Film', 'letzt', 'Jahr', 'Film', 'Jahr']","['trailer', 'already', 'better', 'many', 'movie', 'lesen', 'year', 'movie', 'year']",The trailer is already better than many films of the last few years.... this will be my film of the year!!!! (=
79,Wenn ich in einem Land mit der langsamsten digitalen Infrastruktur Europas leben würde…würde ich mich nur vorsichtig über Innovationen anderer Länder lustig machen.,164,If I lived in a country with the slowest digital infrastructure in Europe...I would be careful about making fun of other countries' innovations.,"['Land', 'langsam', 'digital', 'Infrastruktur', 'Europa', 'leben', 'würde…würden', 'vorsichtig', 'Innovation', 'Land', 'lustig']","['lived', 'country', 'slowest', 'digital', 'infrastructure', 'europei', 'would', 'careful', 'making', 'fun', 'countrie', 'innovation']",If I lived in a country with the slowest digital infrastructure in Europe…I would be cautious about making fun of other countries' innovations.
80,Kroos muss Kapitän werden.,26,Kroos must become captain.,"['Kroo', 'müssen', 'Kapitän']","['kroos', 'müssen', 'become', 'captain']",Kroos must become captain.
81,"Sehr gutes Comeback von Kroos. Es war die richtige Entscheidung ihn zurück zu holen, er gehört einfach in die Nationalmannschaft.",129,"Very good comeback from Kroos. It was the right decision to bring him back, he simply belongs in the national team.","['gut', 'Comeback', 'Kroo', 'Es', 'richtig', 'Entscheidung', 'zurück', 'holen', 'gehören', 'einfach', 'Nationalmannschaft']","['good', 'comeback', 'kroos', 'right', 'decision', 'bringen', 'back', 'simply', 'belongs', 'national', 'team']","Very good comeback from Kroos. It was the right decision to bring him back, he simply belongs in the national team."
82,"Hummels nicht zu nominieren ist der größte Schwachsinn. Die Leistungen die er in den letzten Monaten gebracht hat, waren einfach krank, nicht nur für sein Alter, sondern generell sportlich. Aber da war eh nach der Vorrunde rausfliegen kann ihm das auch eigentlich egal sein.",274,"Not nominating Hummels is the biggest nonsense. The performances he's put in over the last few months have simply been sick, not just for his age, but in general sporting terms. But since he was knocked out after the preliminary round anyway, he can't really care.","['Hummels', 'nominieren', 'groß', 'Schwachsinn', 'Leistung', 'letzt', 'Monat', 'bringen', 'einfach', 'krank', 'Alter', 'generell', 'sportlich', 'eh', 'vorrunden', 'rausfliegen', 'eigentlich', 'egal']","['nominating', 'hummels', 'biggest', 'nonsense', 'performances', 'put', 'last', 'months', 'simply', 'sick', 'age', 'general', 'sporting', 'terms', 'since', 'knocked', 'preliminary', 'round', 'anyway', 'cant', 'really', 'care']","Not nominating Hummels is the biggest nonsense. The performances he has shown in the last few months have been simply insane, not just for his age, but in terms of sport in general. But since he was knocked out after the preliminary round anyway, he shouldn't really care."
83,"Ich habe mich schon davor ein bisschen für das Thema KI interessiert. Können Sie vielleicht ein Video machen, wo Sie zeigen, wie weit die Forschung schon in diesem Themen-Bereich ist? Das würde mich sehr freuen! :D",214,I was already a bit interested in the topic of AI before that. Could you perhaps make a video showing how far research has already progressed in this area? I would be very happy about that! :D,"['schon', 'davor', 'bissch', 'Thema', 'Ki', 'interessiert', 'vielleicht', 'Video', 'zeigen', 'weit', 'Forschung', 'schon', 'Themenbereich', 'freuen', 'D']","['already', 'bit', 'interested', 'topic', 'ai', 'could', 'perhaps', 'make', 'video', 'showing', 'far', 'research', 'already', 'progressed', 'area', 'would', 'happy']",I've been a bit interested in the topic of AI before. Could you perhaps make a video showing how far research has progressed in this area? I would be very happy! :D
84,"Wer nach diesem Spot noch CDU wählt, dem ist auch nicht mehr zu helfen.",71,Anyone who still votes for the CDU after this commercial is beyond help.,"['wer', 'Spot', 'Cdu', 'wählen', 'mehr', 'helfen']","['anyone', 'still', 'votum', 'cdu', 'commercial', 'beyond', 'help']",Anyone who still votes for the CDU after this commercial cannot be helped.
85,Wie kann man denn in 130 Tagen so fett werden?,46,How can you get so fat in 130 days?,"['130', 'Tag', 'fett']","['get', 'fat', '130', 'days']",How can you get so fat in 130 days?
86,Die sind doch jetzt vollkommen krank sag mal gehts noch ganz Ehrlich wenn das kommt hoffe ich auf Bürger krieg,110,"They are completely sick now, tell me honestly, when this comes I hope for a civil war","['vollkommen', 'krank', 'sagen', 'mal', 'gehts', 'ganz', 'ehrlich', 'kommen', 'hoffen', 'Bürger', 'Krieg']","['completely', 'sick', 'tell', 'honestly', 'comes', 'hope', 'civil', 'sein']","They are completely sick now, tell me, are you serious? Honestly, if that happens, I hope for civil war"
87,Unangenehm,10,Unpleasant,['unangenehm'],['unpleasant'],Unpleasant
88,"Ich bin entsetzt davon, wie ihr den Nebenjob der Zahntechnikerrin darstellt.. Ihr solltet euch künftig mehr hinterfragen.",121,I am appalled by the way you portray the part-time job of dental technician. You should question yourselves more in future.,"['entsetzt', 'davon', 'Nebenjob', 'Zahntechnikerri', 'darstellen', 'sollen', 'künftig', 'mehr', 'hinterfragen']","['appalled', 'way', 'portray', 'parttime', 'job', 'dental', 'technician', 'question', 'future']",I am appalled at the way you portray the part-time job of a dental technician. You should question yourselves more in the future.
89,Einfach nur geil!,17,Simply awesome!,"['einfach', 'geil']","['simply', 'awesome']",Just awesome!
90,"Immer wieder krass zu sehen, was der menschliche Körper aushalten kann.",71,It's always amazing to see what the human body can withstand.,"['immer', 'krass', 'sehen', 'wer', 'menschlich', 'Körper', 'aushalten']","['always', 'amazing', 'see', 'human', 'body', 'ca', 'withstand']",It's always amazing to see what the human body can endure.
91,Wie jede Technologie bietet künstliche Intelligenz Chancen und Risiken. Regulation hat die Aufgabe Risiken zu minimieren und Chancen zu fördern. Ich halte das beschlossene KI-Gesetz für einen guten ersten Schritt. Und natürlich wird man auch nachregulieren müssen.,264,"Like any technology, artificial intelligence offers opportunities and risks. Regulation has the task of minimizing risks and promoting opportunities. I think the AI Act that has been passed is a good first step. And, of course, we will also have to regulate further.","['jed', 'Technologie', 'bieten', 'künstlich', 'Intelligenz', 'Chance', 'Risiko', 'Regulation', 'Aufgabe', 'Risiko', 'minimieren', 'Chance', 'fördern', 'halten', 'beschlossen', 'Kigesetz', 'gut', 'erst', 'Schritt', 'natürlich', 'nachregulieren', 'müssen']","['like', 'technology', 'artificial', 'intelligence', 'offers', 'opportunities', 'risks', 'regulation', 'task', 'minimizing', 'risks', 'promoting', 'opportunities', 'think', 'ai', 'act', 'passed', 'good', 'first', 'step', 'course', 'wollen', 'also', 'regulate']","Like any technology, artificial intelligence offers opportunities and risks. Regulation has the task of minimizing risks and promoting opportunities. I think the AI ​​law that has been passed is a good first step. And of course, further regulation will also be necessary."
92,"Respekt! Sieht so einfach aus, ist aber die größte Hürde überhaupt",66,"Respect! It looks so simple, but it's the biggest hurdle of all","['Respekt', 'sehen', 'einfach', 'groß', 'Hürde', 'überhaupt']","['respect', 'looks', 'simpel', 'biggest', 'hurdle']","Respect! Looks so easy, but is the biggest hurdle of all"
93,"Ich habe vor ein paar Monaten mal versucht, einen Termin beim Neurologen zu bekommen. Bei einigen betrug die Wartezeit bis zu sieben Monaten! Wahrscheinlich sterben etliche Patienten bevor sie einen Termin haben.",212,"I tried to get an appointment with a neurologist a few months ago. For some, the waiting time was up to seven months! A lot of patients probably die before they get an appointment.","['paar', 'Monat', 'mal', 'versuchen', 'Termin', 'Neurologe', 'bekommen', 'Betrug', 'Wartezeit', 'sieben', 'Monat', 'wahrscheinlich', 'sterben', 'etlich', 'Patient', 'bevor', 'Termin']","['tried', 'get', 'appointment', 'neurologist', 'months', 'ago', 'waiting', 'time', 'seven', 'months', 'loten', 'patient', 'probably', 'der', 'get', 'appointment']","A few months ago I tried to get an appointment with a neurologist. For some, the wait time was up to seven months! A lot of patients probably die before they get an appointment."
94,Bleiben uns seine oberpeinlichen TikTok Beiträge denn jetzt auch erspart?,73,Will we be spared his embarrassing TikTok posts now?,"['bleiben', 'oberpeinlich', 'Tiktok', 'Beitrag', 'ersparen']","['spared', 'embarrassing', 'tiktok', 'post']",Will we now be spared his super embarrassing TikTok posts?
95,Würdet Ihr Euch trotz weniger Gehalt für eine Führungsposition entscheiden?,75,Would you opt for a management position despite a lower salary?,"['trotz', 'wenig', 'Gehalt', 'Führungsposition', 'entscheiden']","['would', 'opt', 'management', 'position', 'despite', 'lower', 'salary']",Would you choose a management position despite a lower salary?
96,14 Euro sind nicht genug. Ich fordere einen viel höheren Mindestlohn.,69,14 euros is not enough. I demand a much higher minimum wage.,"['14', 'Euro', 'genug', 'fordern', 'hoch', 'Mindestlohn']","['14', 'euro', 'enough', 'demand', 'much', 'higher', 'minimum', 'wagen']",14 euros is not enough. I demand a much higher minimum wage.
97,"Es wäre interessant, mal zu gucken, wieviel Prozent vom verfügbaren Einkommen in den jeweiligen Ländern für Lebensmittel ausgegeben werden, und das dann in Beziehung zu setzen zu der jeweiligen durchschnittlichen Lebenserwartung.",229,It would be interesting to see what percentage of disposable income is spent on food in the respective countries and then relate this to the respective average life expectancy.,"['interessant', 'mal', 'gucken', 'wieviel', 'Prozent', 'verfügbar', 'Einkommen', 'jeweilig', 'Land', 'Lebensmittel', 'ausgeben', 'Beziehung', 'setzen', 'jeweilig', 'durchschnittlich', 'Lebenserwartung']","['would', 'interesting', 'see', 'percentage', 'disposable', 'income', 'spent', 'food', 'respective', 'countries', 'relate', 'respective', 'average', 'life', 'expectancy']",It would be interesting to see what percentage of disposable income is spent on food in each country and then relate that to the respective average life expectancy.
98,Es ist im Endeffekt egal was du sagst du hast verkackt.,55,"In the end, it doesn't matter what you say, you fucked up.","['Endeffekt', 'egal', 'wer', 'sagen', 'verkackt']","['enden', 'matt', 'say', 'fucked']","In the end it doesn't matter what you say, you screwed up."
99,Deniz Aytekin ist einfach ein super sympatischer Schiedsrichter,63,Deniz Aytekin is simply a super likeable referee,"['Deniz', 'Aytekin', 'einfach', 'super', 'sympatisch', 'Schiedsrichter']","['deniz', 'aytekin', 'simply', 'super', 'likeable', 'referee']",Deniz Aytekin is simply a super friendly referee
100,Herzlichen Glückwunsch zum Aufstieg Schöne Grüße aus Nürnberg,61,Congratulations on your promotion Best regards from Nuremberg,"['herzlich', 'Glückwunsch', 'Aufstieg', 'schön', 'Gruß', 'Nürnberg']","['congratulations', 'promotion', 'best', 'regards', 'nuremberg']",Congratulations on your promotion Best regards from Nuremberg
